"";"x"
"143";"Abelmoschus moschatus_Viti Levu"
"144";"Abelmoschus moschatus_Viti Levu"
"145";"Abelmoschus moschatus_Viti Levu"
"146";"Abelmoschus moschatus_Wallis"
"147";"Abelmoschus moschatus_Weno"
"148";"Abelmoschus moschatus_Yanagi"
"149";"Abrus precatorius_Asuncion"
"150";"Abrus precatorius_Aunu'u"
"151";"Abrus precatorius_Fatu Hiva"
"152";"Abrus precatorius_Fatu Hiva"
"153";"Abrus precatorius_Floreana"
"154";"Abrus precatorius_Fulaga"
"155";"Abrus precatorius_Grande Terre"
"156";"Abrus precatorius_Hatuta'a"
"157";"Abrus precatorius_Hiva Oa"
"158";"Abrus precatorius_Huahine"
"159";"Abrus precatorius_Koror"
"160";"Abrus precatorius_Niue"
"161";"Abrus precatorius_Ofu"
"162";"Abrus precatorius_Pitcairn"
"163";"Abrus precatorius_Pohnpei"
"164";"Abrus precatorius_Pohnpei"
"165";"Abrus precatorius_Ta'u"
"166";"Abrus precatorius_Tahuata"
"167";"Abrus precatorius_Wallis"
"168";"Abutilon grandifolium_Kosrae"
"169";"Abutilon grandifolium_Lehua"
"170";"Abutilon grandifolium_Niue"
"171";"Abutilon grandifolium_Norfolk"
"172";"Abutilon grandifolium_Easter"
"173";"Abutilon grandifolium_Sand"
"174";"Abutilon hirtum_Eiao"
"175";"Abutilon hirtum_Nuku Hiva"
"176";"Abutilon hirtum_Tahuata"
"177";"Abutilon hirtum_Ua Huka"
"178";"Abutilon indicum_Baker"
"179";"Abutilon indicum_Guam"
"180";"Abutilon indicum_Kiritimati"
"181";"Abutilon indicum_NA"
"182";"Acacia aulacocarpa_Mangaia"
"183";"Acacia aulacocarpa_Savai'i"
"184";"Acacia auriculiformis_Angaur"
"185";"Acacia auriculiformis_Babeldaob"
"186";"Acacia auriculiformis_Babeldaob"
"187";"Acacia auriculiformis_Babeldaob"
"188";"Acacia auriculiformis_Babeldaob"
"189";"Acacia auriculiformis_Babeldaob"
"190";"Acacia auriculiformis_Babeldaob"
"191";"Acacia auriculiformis_Babeldaob"
"192";"Acacia auriculiformis_Fefan"
"193";"Acacia auriculiformis_Guadalcanal"
"194";"Acacia auriculiformis_Guam"
"195";"Acacia auriculiformis_Guam"
"196";"Acacia auriculiformis_Guam"
"197";"Acacia auriculiformis_Koror"
"198";"Acacia auriculiformis_Kosrae"
"199";"Acacia auriculiformis_Kosrae"
"200";"Acacia auriculiformis_Kosrae"
"201";"Acacia auriculiformis_Lifuka"
"202";"Acacia auriculiformis_Mangaia"
"203";"Acacia auriculiformis_O'ahu"
"204";"Acacia auriculiformis_Pohnpei"
"205";"Acacia auriculiformis_Pohnpei"
"206";"Acacia auriculiformis_Rota"
"207";"Acacia auriculiformis_Savai'i"
"208";"Acacia auriculiformis_Ta'u"
"209";"Senegalia rugata_Grande Terre"
"210";"Senegalia rugata_Grande Terre"
"211";"Senegalia rugata_Grande Terre"
"212";"Acacia confusa_Aguijan"
"213";"Acacia confusa_Aguijan"
"214";"Acacia confusa_NA"
"215";"Acacia confusa_Guam"
"216";"Acacia confusa_Guam"
"217";"Acacia confusa_Guam"
"218";"Acacia confusa_Koror"
"219";"Acacia confusa_Koror"
"220";"Acacia confusa_Koror"
"221";"Acacia confusa_Saipan"
"222";"Acacia confusa_Saipan"
"223";"Acacia confusa_Saipan"
"224";"Acacia confusa_Sarigan"
"225";"Acacia confusa_Weno"
"226";"Acacia confusa_Weno"
"227";"Acacia confusa_Weno"
"228";"Acacia crassicarpa_Atiu"
"229";"Acacia crassicarpa_Ma'uke"
"230";"Acacia crassicarpa_Ma'uke"
"231";"Acacia crassicarpa_Mangaia"
"232";"Acacia dealbata_Alejandro Selkirk"
"233";"Acacia dealbata_Alejandro Selkirk"
